id,title,budget,release_date,revenue,runtime,status
1,#Horror,1500000,2015-11-20,,90,Released
2,(500) Days of Summer,7500000,2009-07-17,60722734,95,Released
3,.45,5000000,2006-11-30,,101,Released
4,1. Mai – Helden bei der Arbeit,200000,2008-02-08,,90,Released
5,10 Cloverfield Lane,15000000,2016-03-10,108286421,103,Released
6,10 Days in a Madhouse,1200000,2015-11-20,,111,Released
7,10 Things I Hate About You,16000000,1999-03-30,53478166,97,Released
8,10 to Midnight,4520000,1983-03-11,7175592,101,Released
9,"10,000 BC",105000000,2008-02-22,266000000,109,Released
10,10.5,20000000,2004-05-02,,165,Released
11,100 Days with Mr. Arrogant,3200000,2004-01-16,,95,Released
12,100 Degrees Below Zero,500000,2013-03-29,,88,Released
13,100 Feet,10000000,2008-07-22,,105,Released
14,100 Ghost Street: The Return of Richard Speck,150,2012-07-24,,84,Released
15,100 Yen: The Japanese Arcade Experience,32213,2012-08-30,,68,Released
16,100% Love,1500000,2011-05-06,,140,Released
17,101 Dalmatians,54000000,1996-11-17,320689294,103,Released
18,102 Dalmatians,85000000,2000-10-07,183611771,100,Released
19,10th & Wolf,8000000,2006-02-19,143451,107,Released
20,11 Minutes,2023012,2015-09-02,,81,Released
21,11.22.63,30000000,2016-02-15,,432,Released
22,11:14,6000000,2003-05-16,,86,Released
23,12,4000000,2007-06-06,7537453,159,Released
24,12 Angry Men,350000,1957-03-25,1000000,96,Released
25,12 Paces without a Head,8500000,2009-12-10,,108,Released
26,12 Rounds,20000000,2009-03-19,17280326,108,Released
27,12 Rounds 2: Reloaded,4000000,2013-06-01,,95,Released
28,12 Years a Slave,20000000,2013-10-18,187000000,134,Released
29,127 Hours,18000000,2010-11-05,35692920,94,Released
30,13 Assassins,6000000,2010-09-09,17555141,141,Released
31,13 Going on 30,37000000,2004-04-13,96455697,98,Released
32,13 Hours: The Secret Soldiers of Benghazi,50000000,2016-01-13,69411370,144,Released
33,13 Sins,5000000,2014-04-18,13809,93,Released
34,14 Blades,20000000,2010-02-04,,114,Released
35,1408,25000000,2007-07-12,94679598,104,Released
36,1492: Conquest of Paradise,47000000,1992-10-09,7191399,154,Released
37,15 Minutes,60000000,2001-03-01,56359980,120,Released
38,16 Blocks,55000000,2006-03-01,65664721,105,Released
39,1612: Chronicles of the Dark Time,12000000,2007-10-28,,135,Released
40,17 Again,20000000,2009-03-11,136267476,102,Released
41,17 Girls,4141459,2011-06-13,201607,87,Released
42,1900,9000000,1976-09-03,,317,Released
43,1911,30000000,2011-07-03,108348,125,Released
44,1941,35000000,1979-12-13,31755742,113,Released
45,1944,2000000,2015-02-20,,100,Released
46,1987,4000000,2014-08-06,,0,Post Production
47,1½ Knights - In Search of the Ravishing Princess Herzelinde,67000000,2008-12-17,,116,Released
48,2 Days in New York,8000000,2012-03-28,1653792,91,Released
49,2 Fast 2 Furious,76000000,2003-06-05,236350661,107,Released
50,2 Guns,61000000,2013-08-02,131940411,109,Released
51,20 Feet from Stardom,1000000,2013-06-14,,89,Released
52,20 Years After,1000000,2008-01-01,,95,Released
53,"20,000 Leagues Under the Sea",5000000,1954-12-23,28200000,127,Released
54,"20,000 Leagues Under the Sea",200000,1916-12-24,8000000,105,Released
55,200 Cigarettes,6000000,1999-02-26,6852450,101,Released
56,200 Motels,679000,1971-11-10,,98,Released
57,200 Pounds Beauty,4000000,2006-12-14,,120,Released
58,2001 Maniacs,3000000,2005-05-12,,87,Released
59,2001: A Space Odyssey,10500000,1968-04-10,68700000,149,Released
60,2001: A Space Travesty,26000000,2000-10-31,,99,Released
61,2010,28000000,1984-12-06,40400657,116,Released
62,2012,200000000,2009-10-10,769653595,158,Released
63,2012 Doomsday,250000,2008-02-12,,85,Released
64,2016: Obama's America,2500000,2012-07-13,33400000,87,Released
65,2033,5000000,2010-02-05,,100,Released
66,2046,12000000,2004-05-20,19271312,129,Released
67,20th Century Boys - Chapter 1: Beginning of the End,20000000,2008-08-19,31244858,142,Released
68,20th Century Women,7000000,2016-12-25,5816211,119,Released
69,21,35000000,2008-03-27,69823199,123,Released
70,21 & Over,13000000,2013-03-01,48065672,93,Released
71,21 Grams,20000000,2003-09-06,60427839,124,Released
72,21 Jump Street,42000000,2012-03-12,201585328,109,Released
73,22 Bullets,24000000,2010-03-23,,115,Released
74,22 Jump Street,50000000,2014-06-05,188441614,112,Released
75,22 Minutes,6500000,2014-05-08,,90,Released
76,24,10000000,2016-05-05,15000000,164,Released
77,247°F,650000,2011-09-01,,90,Released
78,25th Hour,15000000,2002-12-16,13060843,135,Released
79,26 Years,4330000,2012-11-29,,135,Released
80,27 Dresses,30000000,2008-01-10,160259319,111,Released
81,28 Days,43000000,2000-04-06,,103,Released
82,28 Days Later,5000000,2002-10-31,82719885,113,Released
83,28 Weeks Later,15000000,2007-04-26,64238440,100,Released
84,29 Palms,5000000,2002-07-29,,93,Released
85,29th and Gay,25000,2005-01-01,,87,Released
86,2:13,3500000,2009-04-25,,96,Released
87,2:37,850000,2006-05-26,,91,Released
88,3 Braves,143149,2015-05-21,645135,94,Released
89,3 Days to Kill,28000000,2014-02-14,52597999,113,Released
90,3 Generations,5000000,2016-02-11,443962,87,Released
91,3 Godfathers,1243000,1948-12-01,2841000,106,Released
92,3 Idiots,9000000,2009-12-23,70000000,170,Released
93,3 Strikes,6000000,2000-03-01,9000000,82,Released
94,3 Women,1500000,1977-04-03,,124,Released
95,30 Days of Night,30000000,2007-10-17,75505973,113,Released
96,30 Minutes or Less,28000000,2011-08-11,40547440,83,Released
97,300,65000000,2006-12-09,422610419,117,Released
98,3000 Miles to Graceland,62000000,2001-02-23,18720175,125,Released
99,300: Rise of an Empire,110000000,2014-03-05,337580051,102,Released
100,31,1500000,2016-09-15,779820,102,Released
101,31 North 62 East,3100000,2009-09-18,,121,Released
102,3:10 to Yuma,55000000,2007-09-06,70016220,122,Released
103,"4 Months, 3 Weeks and 2 Days",852510,2007-08-24,1185783,113,Released
104,4.3.2.1,4600000,2010-06-02,1163967,117,Released
105,40 Days and 40 Nights,17000000,2002-03-01,,94,Released
106,42,40000000,2013-04-12,95020213,128,Released
107,42 One Dream Rush,1000000,2010-09-15,,45,Released
108,42nd Street,439000,1933-02-02,2281000,89,Released
109,44 Minutes: The North Hollywood Shoot-Out,10000000,2003-01-01,,103,Released
110,47 Meters Down,5500000,2017-06-15,44235023,89,Released
111,47 Ronin,175000000,2013-12-06,150962475,119,Released
112,48 Hrs.,12000000,1982-12-07,78868508,96,Released
113,5 Centimeters per Second,5000000,2007-03-03,,63,Released
114,5 Days of War,20000000,2011-04-14,17479,113,Released
115,5 Flights Up,6000000,2014-09-05,1020921,92,Released
116,50 First Dates,75000000,2004-02-13,196482882,99,Released
117,50 to 1,10000000,2014-03-21,1064454,110,Released
118,50/50,8000000,2011-09-30,39187783,100,Released
119,500 MPH Storm,3000000,2013-02-28,,90,Released
120,51,1000000,2011-02-26,,87,Released
121,54,13000000,1998-08-28,16757163,106,Released
122,55 Days at Peking,17000000,1963-05-06,10000000,154,Released
123,5ive Girls,3000000,2006-01-01,,95,Released
124,6 Bullets,10000000,2012-09-11,,115,Released
125,7 Below,6000000,2012-04-16,,90,Released
126,7 Days in Havana,3800000,2012-04-05,,129,Released
127,7 Seconds,13000000,2005-06-28,,96,Released
128,71: Into the Fire,10400000,2010-06-16,20967660,120,Released
129,72 Meters,1600000,2004-02-12,,117,Released
130,7Aum Arivu,16000000,2011-10-26,98900000,168,Released
131,7eventy 5ive,3000000,2007-05-16,,100,Released
132,8 Mile,41000000,2002-11-08,215000000,110,Released
133,8 Million Ways to Die,18000000,1986-04-25,,115,Released
134,8 Minutes Idle,400000,2012-03-29,,86,Released
135,8 Women,8000000,2002-01-08,,111,Released
136,8213: Gacy House,500,2010-09-28,,85,Released
137,84C MoPic,500000,1989-03-22,,90,Released
138,88 Minutes,30000000,2007-02-14,16930884,108,Released
139,8MM,40000000,1999-02-26,96618699,123,Released
140,9,30000000,2009-08-19,48428063,79,Released
141,9 Songs,1000000,2004-07-16,1574623,66,Released
142,90 Minutes in Heaven,5000000,2015-09-11,4842699,121,Released
143,95ers: Time Runners,750,2013-02-14,,96,Released
144,99,3000000,2009-05-15,6600000,141,Released
145,99 Homes,8000000,2014-10-09,1411927,112,Released
146,9th Company,9500000,2005-09-19,24000000,139,Released
147,A Bag of Hammers,2000000,2011-03-12,,85,Released
148,A Beautiful Mind,60000000,2001-12-11,313542341,135,Released
149,A Better Life,10000000,2011-06-24,1759252,98,Released
150,A Better Tomorrow,8700000,2010-09-16,,124,Released
151,A Breed Apart,3000000,1984-07-01,,95,Released
152,A Bridge Too Far,22000000,1977-06-15,50750000,175,Released
153,A Bronx Tale,22000000,1993-09-14,17287898,121,Released
154,A Bucket of Blood,50000,1959-10-21,,66,Released
155,A Bug's Life,120000000,1998-11-25,363258859,95,Released
156,A Christmas Carol,200000000,2009-11-04,325233863,96,Released
157,A Cinderella Story,19000000,2004-07-10,70067909,95,Released
158,A Civil Action,70000000,1998-03-05,56702901,115,Released
159,A Clockwork Orange,2200000,1971-12-18,26589000,136,Released
160,A Coffee in Berlin,300000,2012-07-03,2750275,88,Released
161,A Company Man,3500000,2012-10-11,7339398,96,Released
162,A Conspiracy of Faith,5210000,2016-03-03,5900000,112,Released
163,A Countess from Hong Kong,3500000,1967-01-05,2000000,113,Released
164,A Cry in the Dark,15000000,1988-11-11,6908797,120,Released
165,A Cure for Wellness,40000000,2017-02-15,26559557,146,Released
166,A Dangerous Man,6500000,2009-01-01,,94,Released
167,A Dangerous Method,15000000,2011-09-30,27462041,99,Released
168,A Dennis the Menace Christmas,2000000,2007-11-10,,83,Released
169,A Dirty Carnival,4700000,2006-06-15,,141,Released
170,A Dirty Shame,15000000,2004-09-12,1914166,89,Released
171,A Distant Neighborhood,18000000,2010-05-20,,98,Released
172,A Dog's Breakfast,120000,2007-03-03,,88,Released
173,A Dog's Purpose,22000000,2017-01-19,194647323,100,Released
174,A Driver for Vera,3300000,2004-07-27,2011837,105,Released
175,A Farewell to Arms,4,1932-12-08,25,89,Released
176,A Farewell to Arms,4,1932-12-08,25,89,Released
177,A Few Best Men,12468389,2011-10-14,29007412,97,Released
178,A Few Good Men,40000000,1992-12-11,243240178,138,Released
179,A Fish Called Wanda,7500000,1988-07-15,62493712,108,Released
180,A Fistful of Dollars,200000,1964-09-12,14500000,99,Released
181,A Foreign Affair,1500000,1948-08-20,,116,Released
182,A Ghost Story,100000,2017-07-07,15584255,92,Released
183,A Girl Walks Home Alone at Night,1000000,2014-01-19,395000,99,Released
184,A Good Day to Die Hard,92000000,2013-02-06,304654182,98,Released
185,A Good Job: Stories of the FDNY,600000,2014-09-08,,60,Released
186,A Good Man,7000000,2014-08-19,,100,Released
187,A Good Year,35000000,2006-09-09,42064105,118,Released
188,A Gun For Jennifer,500000,1997-07-01,,88,Released
189,A Guy Named Joe,2627000,1944-03-01,5363000,120,Released
190,A Guy Thing,20000000,2003-01-17,17432163,101,Released
191,A Hard Day's Night,560000,1964-07-06,12299668,88,Released
192,A Haunted House,2500000,2013-01-11,60141683,86,Released
193,A Heartbeat Away,8292000,2011-03-11,,91,Released
194,A History of Violence,32000000,2005-09-23,60740827,96,Released
195,A Hologram for the King,30000000,2016-04-22,4212494,97,Released
196,A Home at the End of the World,6500000,2004-07-23,1548955,96,Released
197,A Home of Our Own,12000000,1993-11-05,1703282,104,Released
198,A Job to Kill For,2500000,2006-06-27,,89,Released
199,A Kind of America 2,1500000,2008-12-18,,110,Released
200,A Knight's Tale,65000000,2001-05-11,117487473,132,Released
201,A LEGO Brickumentary,650000,2015-07-31,,93,Released
202,A League of Their Own,40000000,1992-07-01,107458785,128,Released
203,A Life Less Ordinary,12000000,1997-10-24,,103,Released
204,A Little Night Music,200000,2002-01-01,286000,95,Released
205,A Little Princess,17000000,1995-05-10,,97,Released
206,A Little Trip to Heaven,12000000,2005-12-26,,98,Released
207,A Lonely Place to Die,4000000,2011-04-09,25345000,99,Released
208,A Lot Like Love,30000000,2005-04-22,42886719,107,Released
209,A Low Down Dirty Shame,10000000,1994-11-23,29392418,100,Released
210,A Man Apart,36000000,2003-04-04,44350926,109,Released
211,A Man for All Seasons,3900000,1966-12-12,28350000,120,Released
212,A Matador's Mistress,28000000,2008-09-06,,92,Released
213,A Midsummer Night's Dream,11000000,1999-04-25,,116,Released
214,A Mighty Heart,16000000,2007-01-01,18928871,100,Released
215,A Mighty Wind,6000000,2003-04-16,18750246,91,Released
216,A Moment to Remember,4200000,2004-11-05,,144,Released
217,A Monster Calls,43000000,2016-10-07,46652768,108,Released
218,A Monster in Paris,25000000,2011-10-12,,90,Released
219,A Most Violent Year,20000000,2014-12-30,12007070,125,Released
220,A Most Wanted Man,15000000,2014-07-25,31554855,121,Released
221,A Nanny for Christmas,2000000,2010-11-23,,88,Released
222,A Night at the Roxbury,17000000,1998-10-01,30331165,81,Released
223,A Night in Old Mexico,2000000,2013-11-08,,103,Released
224,A Night to Remember,1680000,1958-12-16,,123,Released
225,A Nightmare on Elm Street,1800000,1984-11-14,25504513,91,Released
226,A Nightmare on Elm Street,35000000,2010-04-30,115664037,95,Released
227,A Nightmare on Elm Street 3: Dream Warriors,5000000,1987-02-27,44793222,96,Released
228,A Nightmare on Elm Street 4: The Dream Master,7000000,1988-08-19,72500000,99,Released
229,A Nightmare on Elm Street 5: The Dream Child,8000000,1989-08-11,22168359,89,Released
230,A Nightmare on Elm Street Part 2: Freddy's Revenge,3000000,1985-10-31,29999213,87,Released
231,A Nymphoid Barbarian in Dinosaur Hell,40000,1990-01-01,,82,Released
232,A Pain in the Ass,30000000,2008-01-01,,86,Released
233,A Parting Shot,2700000,2007-05-30,,84,Released
234,A Passage to India,8000000,1984-12-14,27187653,163,Released
235,A Patch of Blue,800000,1965-12-10,6792000,105,Released
236,A Patriotic Man,2300000,2013-12-04,,97,Released
237,A Perfect Getaway,14000000,2009-06-08,22852638,98,Released
238,A Perfect Man,5000000,2013-11-01,388,95,Released
239,A Perfect Murder,60000000,1998-06-05,128038368,107,Released
240,A Perfect World,30000000,1993-11-24,135130999,138,Released
241,A Place Called Chiapas,891000,1998-02-20,229000,89,Rumored
242,A Place in the Sun,3000000,2012-08-29,,0,Released
243,A Plumm Summer,4200000,2007-01-01,,99,Released
244,A Prairie Home Companion,10000000,2006-06-09,,105,Released
245,A Prayer for the Dying,6000000,1987-09-11,1432687,107,Released
246,A Prophet,13000000,2009-08-26,,155,Released
247,A Quiet Passion,8138338,2016-10-07,1864266,125,Released
248,A Rage in Harlem,8000000,1991-05-03,10400000,115,Released
249,A Raisin in the Sun,1500000,1961-05-28,,128,Released
250,A Return to Salem's Lot,12000000,1987-05-01,,101,Released
251,A Room with a View,3000000,1985-12-13,20966644,117,Released
252,A Royal Affair,8000000,2012-03-29,7594693,137,Released
253,A Scanner Darkly,8700000,2006-05-25,7659918,100,Released
254,A Second Chance,4700000,2014-09-09,,103,Released
255,A Separation,800000,2011-03-15,,123,Released
256,A Serious Man,7000000,2009-10-02,31430334,105,Released
257,A Shine of Rainbows,6000000,2009-10-01,,101,Released
258,A Simple Wish,28000000,1997-07-11,8345056,86,Released
259,A Single Man,7000000,2009-10-19,,101,Released
260,A Soldier's Story,6000000,1984-09-14,21821347,101,Released
261,A Sound of Thunder,80000000,2005-05-15,5989640,110,Released
262,A Star Is Born,5019770,1954-09-29,,181,Released
263,A Star Is Born,6000000,1976-12-16,161000000,139,Released
264,A Street Cat Named Bob,8000000,2016-11-04,82703,103,Released
265,A Streetcar Named Desire,1800000,1951-09-18,8000000,125,Released
266,A Tale of Love and Darkness,4000000,2015-09-03,,95,Released
267,A Tale of Two Sisters,110,2003-06-13,,115,Released
268,A Teacher,100000,2013-09-06,,75,Released
269,A Thousand Words,40000000,2012-03-07,22044277,91,Released
270,A Time for Killing,2000000,1967-08-01,,88,Released
271,A Time to Kill,40000000,1996-07-24,152266007,149,Released
272,A Trip to the Moon,5985,1902-09-01,,14,Released
273,A Troll in Central Park,23000000,1994-10-07,71368,76,Released
274,A United Kingdom,14000000,2016-11-25,13819139,111,Released
275,A Very Harold & Kumar Christmas,19000000,2011-11-04,35387212,108,Released
276,A Very Long Engagement,47000000,2004-10-26,,133,Released
277,A View to a Kill,30000000,1985-05-24,152427960,131,Released
278,A Violent Prosecutor,500,2016-02-03,50,126,Released
279,A Walk Among the Tombstones,28000000,2014-09-18,53181600,113,Released
280,A Walk in the Clouds,20000000,1995-08-11,50012507,103,Released
281,A Walk in the Woods,8000000,2015-09-02,35991087,104,Released
282,A Walk on the Moon,14000000,1999-01-29,,107,Released
283,A Walk to Remember,11000000,2002-01-25,41227069,101,Released
284,A Warrior's Heart,2500000,2011-12-02,,86,Released
285,A Wednesday!,1400000,2008-09-05,3500000,103,Released
286,A Whole Life Ahead,5940000,2008-03-28,4250000,117,Released
287,A Woman Is a Woman,160000,1961-09-06,100655,84,Released
288,A Woman of Affairs,383000,1928-12-15,,91,Released
289,A.C.A.B.: All Cops Are Bastards,5000000,2012-01-27,,112,Released
290,A.I. Artificial Intelligence,100000000,2001-06-29,235926552,146,Released
291,A2 Racer,7200000,2004-02-19,,87,Released
292,AE: Apocalypse Earth,1000000,2013-05-28,,87,Released
293,ATL,20000000,2006-03-31,21170563,105,Released
294,ATM,3000000,2012-02-17,3010,90,Released
295,AVP: Alien vs. Predator,70000000,2004-08-12,171183863,101,Released
296,AWOL-72,3000000,2015-08-07,,79,Released
297,Aachi and Ssipak,3500000,2006-06-28,,90,Released
298,Aadukalam,4000000,2011-01-14,6000000,160,Released
299,Aalavandhan,300000,2001-11-16,,178,Released
300,Aamir,364000,2008-06-06,,99,Released
301,Aanandam,450000,2016-10-21,2300000,134,Released
302,Aasai,500000,1995-09-25,500000,157,Released
303,Aashiqui 2,1300000,2013-04-25,16000000,132,Released
304,Abandon,25000000,2002-10-14,10719357,99,Released
305,Abbott and Costello Meet Captain Kidd,450,1952-12-27,,70,Released
306,Abbott and Costello Meet the Keystone Kops,736,1955-01-01,,80,Released
307,"Abbott and Costello Meet the Killer, Boris Karloff",686,1949-09-18,,84,Released
308,Abduction,35000000,2011-09-22,82087155,106,Released
309,Abel,1000000,2010-05-28,,83,Released
310,About Cherry,2500000,2012-02-14,3003,102,Released
311,About Last Night,12500000,2014-02-14,49002684,100,Released
312,About Schmidt,30000000,2002-12-13,105834556,125,Released
313,About Time,12000000,2013-08-16,87100449,123,Released
314,About a Boy,27000000,2002-04-26,129000000,101,Released
315,Above Dark Waters,2000000,2013-09-06,,108,Released
316,Above the Law,7500000,1988-04-08,18869631,99,Released
317,Abraham,10000000,1994-04-03,,175,Released
318,Abraham Lincoln vs. Zombies,150000,2012-05-29,,90,Released
319,Abraham Lincoln: Vampire Hunter,69000000,2012-06-20,112265139,94,Released
320,Absence of Malice,12000000,1981-12-18,40716963,116,Released
321,Absence of the Good,17,1999-10-15,,90,Released
322,Absentia,70000,2011-03-03,,92,Released
323,Absolute Deception,5000000,2013-06-10,,92,Released
324,Absolute Power,50000000,1997-02-14,50068310,121,Released
325,Absolution,2000000,2015-02-27,,93,Released
326,Acacia,2000000,2003-10-17,,102,Released
327,Accepted,23000000,2006-08-18,38505009,93,Released
328,Accident,600000,1967-02-05,,105,Released
329,Accidental Love,26000000,2015-02-10,,100,Released
330,Ace Ventura Jr: Pet Detective,7500000,2009-03-03,,93,Released
331,Ace Ventura: Pet Detective,15000000,1994-02-04,107217396,86,Released
332,Ace Ventura: When Nature Calls,30000000,1995-11-10,212385533,90,Released
333,Ace in the Hole,1821052,1951-06-29,1300000,111,Released
334,Across to Singapore,290000,1928-04-07,596000,85,Released
335,Act of Valor,12000000,2012-02-24,81272766,110,Released
336,Action,121,1980-01-04,,121,Released
337,Action Hero Biju,300000,2016-02-04,2500000,144,Released
338,Action Jackson,7000000,1988-02-12,20256975,96,Released
339,Adam,500000,1992-10-05,,6,Released
340,Adam Resurrected,10000000,2008-08-08,,106,Released
341,Adam's Apples,3700000,2005-04-15,,94,Released
342,Adaptation.,19000000,2002-12-06,32801173,114,Released
343,Addictions and Subtractions,1500000,2004-09-22,,108,Released
344,Adjust Your Tracking: The Untold Story of the VHS Collector,5000,2013-04-05,,84,Released
345,Admiral,2000000,2008-06-06,38135878,123,Released
346,Admiral,10000000,2015-01-29,,128,Released
347,Admission,13000000,2013-03-21,18000000,107,Released
348,Adolf Hitler: The Greatest Story Never Told,5000,2013-01-27,,350,Released
349,Adopt a Sailor,300000,2008-10-24,,85,Released
350,Adoration,4700000,2008-01-01,,100,Released
351,Adore,16000000,2013-04-03,318982,100,Released
352,Adrift in Manhattan,4000000,2007-01-10,,91,Released
353,Adulterers,750000,2016-01-05,,80,Released
354,Adventureland,9500000,2009-04-03,17164377,107,Released
355,Adventures of Arsene Lupin,23000000,2004-09-17,,131,Released
356,Adventures of Power,2500000,2008-01-20,,89,Released
357,Adventures of a Teenage Dragonslayer,3250000,2010-04-16,,88,Released
358,Aferim!,1379375,2015-01-22,105097,108,Released
359,Afflicted,318000,2014-04-04,121179,85,Released
360,Affliction,6000000,1997-08-28,6330054,114,Released
361,After Earth,130000000,2013-05-30,243843127,100,Released
362,After Hours,4500000,1985-09-13,10609321,97,Released
363,After Image,1400000,2001-01-23,,0,Released
364,After Life,11791,1998-09-11,,118,Released
365,After Porn Ends,400000,2012-05-21,,90,Released
366,After Sex,825000,2007-09-26,,78,Released
367,After the Rain,3800000,1999-10-25,,91,Released
368,After the Sunset,60000000,2004-11-12,61347797,97,Released
369,After.Life,4500000,2010-04-09,3606395,104,Released
370,Aftermath,10500000,2017-04-06,3451,92,Released
371,Aftershock,25000000,2010-07-22,,135,Released
372,Aftershock,2000000,2012-09-12,58510,89,Released
373,Afterwards,15400000,2008-10-01,,107,Released
374,Against the Current,3000000,2009-01-18,,98,Rumored
375,Against the Dark,9000000,2009-01-01,,94,Released
376,Against the Ropes,39000000,2004-02-20,6614280,106,Released
377,Age of the Dragons,5000000,2011-03-21,,91,Released
378,Agent Cody Banks,28000000,2003-03-14,58795814,102,Released
379,Agent Cody Banks 2: Destination London,26000000,2004-06-24,28818995,100,Released
380,Agneepath,11097000,2012-01-25,49028000,174,Released
381,Agora,70000000,2009-05-17,39041505,127,Released
382,Aguirre: The Wrath of God,92000,1972-12-29,,93,Released
383,Air Bud,3000000,1997-08-01,23144499,98,Released
384,Air Bud: Spikes Back,5000000,2003-07-01,,87,Released
385,Air Buddies,9000000,2006-12-12,,80,Released
386,Air Force One,85000000,1997-07-25,315156409,124,Released
387,Airborne,2600000,1993-09-17,2850263,91,Released
388,Airlift,4500000,2016-01-22,32000000,126,Released
389,Airplane!,3500000,1980-07-02,83453539,88,Released
390,Airport,10000000,1970-03-05,100489151,137,Released
391,Airport '77,6000000,1977-03-11,30000000,114,Released
392,Airport 1975,3000000,1974-10-18,47000000,107,Released
393,Aitraaz,3500000,2004-11-12,9250000,159,Released
394,Akeelah and the Bee,8000000,2006-04-28,18948425,112,Released
395,Akira,8000000,1988-07-16,553171,124,Released
396,Aladdin,28000000,1992-11-25,504050219,90,Released
397,Alaipayuthey,2000000,2000-04-14,6000000,156,Released
398,Alan Partridge: Alpha Papa,4000000,2013-07-24,9800000,90,Released
399,Alaska,23000000,1996-08-14,,109,Released
400,Alatriste,24000000,2006-09-01,23321954,145,Released
401,Albert Nobbs,8000000,2011-12-21,5634828,113,Released
402,Albino Alligator,6000000,1996-09-09,,97,Released
403,Alesha Popovich and Tugarin the Dragon,4000000,2004-12-23,1730000,72,Released
404,Alex & Emma,30000000,2003-06-16,15368897,96,Released
405,Alex Cross,45000000,2012-10-18,30353232,101,Released
406,Alexander,155000000,2004-11-21,167298192,175,Released
407,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,2014-10-08,100654149,81,Released
408,Alexander's Ragtime Band,2000000,1938-05-24,4000000,106,Released
409,Alfie,60000000,2004-10-22,13395939,103,Released
410,Ali,107000000,2001-12-11,87713825,157,Released
411,Ali: Fear Eats the Soul,130000,1974-03-05,,93,Released
412,Alice Sweet Alice,340000,1976-11-13,,98,Released
413,Alice Through the Looking Glass,170000000,2016-05-25,299370084,113,Released
414,Alice in Wonderland,3000000,1951-07-03,572000000,75,Released
415,Alice in Wonderland,21000000,1999-02-28,,150,Released
416,Alice in Wonderland,14000000,1985-12-09,,187,Released
417,Alice in Wonderland,200000000,2010-03-03,1025491110,108,Released
418,Alice's Adventures in Wonderland,2500000,1972-01-01,,101,Released
419,Alien,11000000,1979-05-25,104931801,117,Released
420,Alien Escape,1000000,1996-01-01,,85,Released
421,Alien Hunter,7000000,2003-07-19,,100,Released
422,Alien Nation,16000000,1988-10-07,32155047,91,Released
423,Alien: Covenant,97000000,2017-05-09,232380243,122,Released
424,Alien: Resurrection,70000000,1997-11-12,162000000,109,Released
425,Aliens,18500000,1986-07-18,183316455,137,Released
426,Aliens in the Attic,45000000,2009-07-31,57881056,86,Released
427,Aliens vs Predator: Requiem,40000000,2007-12-25,41797066,94,Released
428,Alien³,50000000,1992-05-22,159773545,114,Released
429,Alive,32000000,1993-01-15,36733909,120,Released
430,All About Eve,1400000,1950-11-09,63463,138,Released
431,All About My Mother,8272296,1999-04-19,67872296,101,Released
432,All About Steve,15000000,2009-09-04,40105542,99,Released
433,All About the Benjamins,14000000,2002-03-08,25482931,95,Released
434,All Dogs Go to Heaven,13800000,1989-11-17,27100027,89,Released
435,All Eyez on Me,45000000,2017-06-12,,139,Released
436,All Is Lost,9000000,2013-10-18,6108720,106,Released
437,All Quiet on the Western Front,1250000,1930-04-29,,133,Released
438,All Star Superman,3500000,2011-02-22,,76,Released
439,All The Best,7500000,2009-10-16,,144,Released
440,All The Queen's Men,15000000,2001-10-14,23000,99,Released
441,All Things To All Men,6000000,2013-04-05,,84,Released
442,All at Once,750000,2014-06-05,3,0,Released
443,All or Nothing,9000000,2002-05-17,,128,Released
444,All the Boys Love Mandy Lane,750000,2008-02-15,,90,Released
445,All the King's Men,55000000,2006-09-10,9450897,125,Released
446,All the President's Men,8500000,1976-04-04,70600000,138,Released
447,All the Pretty Horses,57000000,2000-12-11,,117,Released
448,All the Wrong Reasons,1105736,2013-11-01,,114,Released
449,All'ultima spiaggia,2700000,2012-10-04,,,Released
450,All-Stars,608000,2014-10-15,,98,Released
451,Allan Quatermain and the Temple of Skulls,50000,2008-04-29,,98,Released
452,Allegiant,110000000,2016-03-09,179246868,121,Released
453,Allegro,1500000,2005-09-30,,88,Released
454,Allied,85000000,2016-11-17,119520023,124,Released
455,Alligator,1500000,1980-07-02,,91,Released
456,Alléluia,3673315,2014-05-14,,93,Released
457,Almost Christmas,17000000,2016-11-11,42487325,111,Released
458,Almost Famous,60000000,2000-09-15,47383689,122,Released
459,Aloft,8000000,2014-02-12,53086,112,Released
460,Aloha,37000000,2015-05-27,26250020,105,Released
461,Alone With Her,1000000,2006-04-28,10018,78,Released
462,Alone Yet Not Alone,7000000,2013-09-01,,103,Released
463,Alone in the Dark,20000000,1982-11-12,8178569,93,Released
464,Alone in the Dark,20000000,2005-01-28,10442808,96,Released
465,Alone in the Dark 2,4600000,2008-09-01,,88,Released
466,Along Came Polly,42000000,2004-01-16,171963386,90,Released
467,Along Came a Spider,60000000,2001-04-06,105178561,104,Released
468,Along the Roadside,250,2013-02-28,,118,Released
469,Alpha and Omega,20000000,2010-09-17,39300000,88,Released
470,Alphaville,220000,1965-05-05,,100,Released
471,Altered,8000000,2006-01-01,,88,Released
472,Altered States,15000000,1980-12-25,19853892,102,Released
473,Alvin and the Chipmunks,60000000,2007-12-13,361366633,92,Released
474,Alvin and the Chipmunks: Chipwrecked,75000000,2011-12-14,342695435,87,Released
