id,title,budget,release_date,revenue,runtime,status
8456,Valmont,33000000,1989-11-17,1132112,137,Released
8457,Vamp,1900000,1986-07-18,4790926,93,Released
8458,Vampire in Brooklyn,14000000,1995-10-26,19800000,100,Released
8459,Vampire's Kiss,2000000,1988-09-17,725131,103,Released
8460,Vampires,20000000,1998-04-15,,108,Released
8461,Vampires Suck,20000000,2010-08-18,80547866,82,Released
8462,Vamps,16000000,2012-08-25,,93,Released
8463,Van Helsing,160000000,2004-05-05,300257475,132,Released
8464,Vanilla Sky,68000000,2001-12-10,203388341,136,Released
8465,Vanishing Point,1300000,1971-01-15,72266306,99,Released
8466,Vanishing on 7th Street,10000000,2010-09-11,1068682,92,Released
8467,Vanity Fair,23000000,2004-09-01,16123851,141,Released
8468,Vantage Point,40000000,2008-02-01,151161491,90,Released
8469,Varalaru,500000,2006-10-20,500000,157,Released
8470,Vares - The Kiss of Evil,1400000,2011-01-06,,94,Released
8471,Vatel,35000000,2000-05-01,,125,Released
8472,Vdrebezgi,400,2011-10-06,,0,Released
8473,Veer-Zaara,7000000,2004-11-12,29385320,192,Released
8474,Veeram,5900000,2014-01-10,19000000,161,Released
8475,Vegas Vacation,25000000,1997-02-13,36400360,93,Released
8476,Vera Drake,11000000,2004-10-22,,125,Released
8477,Veronica Guerin,17000000,2003-07-11,1569918,98,Released
8478,Veronica Mars,6000000,2014-03-13,3485127,107,Released
8479,Veronika Decides to Die,9000000,2009-05-16,,103,Released
8480,Versus,10000,2000-10-23,,130,Released
8481,Vertical Limit,75000000,2000-12-08,215663859,124,Released
8482,Vertigo,2479000,1958-05-09,28000000,128,Released
8483,Very Bad Things,30000000,1998-09-11,9898412,100,Released
8484,Vibes,1884000,1988-08-05,1883811,99,Released
8485,Vice,10000000,2015-01-16,,96,Released
8486,Vicky Cristina Barcelona,15000000,2008-08-15,96408652,96,Released
8487,Victor Frankenstein,40000000,2015-11-10,34227298,109,Released
8488,Victoria Day,1,2009-01-17,,88,Released
8489,Video Girl,5000000,2011-10-11,,95,Released
8490,Videocracy,700000,2009-09-04,1179676,85,Released
8491,Videodrome,5952000,1983-02-04,2120439,87,Released
8492,Vigilante Diaries,4000000,2016-09-01,,107,Released
8493,Viking,13000000,2016-12-29,,133,Released
8494,Viktor,10000000,2014-09-04,,134,Released
8495,Village People,1059300,2013-04-15,,85,Released
8496,Village of the Damned,200000,1960-11-05,,77,Released
8497,Villan,500000,2002-12-05,500000,157,Released
8498,Vincent,60000,1982-01-01,,6,Released
8499,Vincent N Roxxy,5000000,2016-04-18,,110,Released
8500,Vinnaithaandi Varuvaayaa,3000000,2010-02-26,12000000,157,Released
8501,Vinylmania: When Life Runs at 33 Revolutions Per Minute,33000,2012-01-01,,75,Released
8502,Vipers Nest,3500000,2011-03-10,18000000,105,Released
8503,Virgin Territory,38000000,2007-12-17,5410749,93,Released
8504,Virtual Revolution,3200000,2016-10-12,,92,Released
8505,Virtuosity,30000000,1995-08-04,24048000,106,Released
8506,Virus,75000000,1999-01-14,14010690,99,Released
8507,Virus X,3500000,2010-10-01,,85,Released
8508,Visaranai,325000,2016-02-04,1600000,118,Released
8509,Vishwaroopam,17000000,2013-01-25,51000000,147,Released
8510,Visions of Europe,2000000,2004-05-01,,140,Released
8511,Vivre Sa Vie,64000,1962-09-20,24517,85,Released
8512,Vixen!,76000,1968-10-15,6000000,70,Released
8513,Vizontele Tuuba,3000000,2004-01-21,13954476,111,Released
8514,Volcano,90000000,1997-04-25,,104,Released
8515,Volver,12899867,2006-03-16,85582407,121,Released
8516,Von Ryan's Express,5760000,1965-06-23,,117,Released
8517,Voracious,11178,2012-09-05,34659,104,Released
8518,Voyage to the Bottom of the Sea,1580000,1961-07-12,7000000,105,Released
8519,Vulgar,120000,2000-09-13,14904,87,Released
8520,Vuonna 85,1600000,2013-01-24,,0,Released
8521,Vysotsky: Thank God I'm Alive,12000000,2011-12-01,,127,Released
8522,W.,25100000,2008-10-17,29506464,131,Released
8523,W.E.,15000000,2011-09-01,868439,119,Released
8524,WALL·E,180000000,2008-06-22,521311860,98,Released
8525,Waar,2000000,2013-10-16,,0,Released
8526,Wabash Avenue,2115000,1950-03-31,2039000,92,Released
